"Project name","Task name","Date","Start time","End time","Duration","Time zone","Project archived","Task completed"
"Hands on ML",,"9 May 2020","9:51 am","9:52 am","00:00:06","+05:30","false",
"Hands on ML","GANs","9 May 2020","9:52 am","10:17 am","00:25:33","+05:30","false","true"
"BTP","NFD testing","9 May 2020","12:16 pm","12:46 pm","00:29:37","+05:30","false","false"
"Hands on ML","GANs","9 May 2020","1:03 pm","1:05 pm","00:01:36","+05:30","false","true"
"Hands on ML","GANs","9 May 2020","4:28 pm","5:12 pm","00:44:25","+05:30","false","true"
"BTP","NFD testing","9 May 2020","5:33 pm","5:39 pm","00:05:45","+05:30","false","false"
"BTP","Mininet Setup for NDN CXX","9 May 2020","5:39 pm","5:40 pm","00:00:06","+05:30","false","true"
"BTP","Mininet Setup for NDN CXX","9 May 2020","5:42 pm","6:12 pm","00:29:26","+05:30","false","true"
"Personal Tracker/Website","ChartJS Timeseries Implementation.","9 May 2020","6:37 pm","7:15 pm","00:37:34","+05:30","false","true"
"Sketchbook/Art",,"10 May 2020","8:53 am","8:56 am","00:02:45","+05:30","false",
"Hands on ML","Reinforcement Learning","10 May 2020","10:03 am","10:49 am","00:45:57","+05:30","false","true"
"Hands on ML","Reinforcement Learning","10 May 2020","11:45 am","12:32 pm","00:46:53","+05:30","false","true"
"Hands on ML","Reinforcement Learning","10 May 2020","1:47 pm","2:20 pm","00:32:49","+05:30","false","true"
"Hands on ML","Reinforcement Learning","10 May 2020","2:23 pm","2:28 pm","00:04:22","+05:30","false","true"
"Gaming","Dota","10 May 2020","2:33 pm","3:09 pm","00:35:40","+05:30","false","false"
"Gaming","Dota","10 May 2020","3:16 pm","4:03 pm","00:46:52","+05:30","false","false"
"Sketchbook/Art",,"10 May 2020","4:58 pm","5:09 pm","00:11:38","+05:30","false",
"Hands on ML","Reinforcement Learning","10 May 2020","5:34 pm","6:33 pm","00:59:04","+05:30","false","true"
"Hands on ML","Reinforcement Learning","10 May 2020","6:39 pm","7:03 pm","00:23:44","+05:30","false","true"
"Personal Tracker/Website","ChartJS Timeseries Implementation.","10 May 2020","8:21 pm","8:45 pm","00:24:10","+05:30","false","true"
"Personal Tracker/Website","ChartJS Timeseries Implementation.","11 May 2020","8:37 am","10:12 am","01:34:40","+05:30","false","true"
"Hands on ML","Implementing Unsupervised Learning","11 May 2020","10:53 am","11:26 am","00:32:32","+05:30","false","true"
"Gaming","Dota","11 May 2020","11:32 am","12:10 pm","00:37:22","+05:30","false","false"
"Gaming","Albion","11 May 2020","12:10 pm","12:57 pm","00:47:33","+05:30","false","false"
"Hands on ML","Implementing Unsupervised Learning","11 May 2020","1:14 pm","3:15 pm","02:01:39","+05:30","false","true"
"BTP","Configuring docker image","11 May 2020","9:27 pm","9:34 pm","00:07:33","+05:30","false","false"
"BTP","Configuring docker image","11 May 2020","9:34 pm","10:03 pm","00:28:23","+05:30","false","false"
"Gaming","Dota","11 May 2020","10:36 pm","11:59 pm","01:23:46","+05:30","false","false"
"Gaming","Dota","12 May 2020","12:00 am","12:45 am","00:45:01","+05:30","false","false"
"Gaming","Albion","12 May 2020","11:33 am","12:00 pm","00:26:22","+05:30","false","false"
